id,name,price,stand_numbers,image_url,included_items,retail_value,distributor,price_numeric,retail_value_numeric
c1c735a1-f0a5-41b3-82fb-4c846b0dc7d0,Trolls Band Together Bag,$35,"Stand Numbers: 1,2,14","https://www.eastershow.com.au/contentassets/0eab05a03a3046d9b29c0bd49fc8d136/trolls-band-together-bag//ShowBagImage-26595215-300-300-75-0,0","['1x Trolls Carry Bag $4.95', '1x Trolls Backpack $15.95', '1x Trolls Bag Charm $3.95', '1x Trolls Sticker Pack $1.95', '1x Trolls Fan $5.05', '1x Trolls Lip Gloss And Purse Set $4.95', '1x Trolls Melty Beads $9.95']",Total Retail Value: $46.75,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",35.0,46.75
c22324b9-ffc7-45c2-9d3a-08179dab817f,Wizz Fizz Lil Fizz Bag,$5,"Stand Numbers: 1,14","https://www.eastershow.com.au/contentassets/b565b853472a4c56a50ce7226b4c907a/lil-wizz-fizz-bag//ShowBagImage-26595199-300-300-75-0,0","['7x Wizz Fizz Lollipops $0.30', '3x Wizz Fizz Sherbets $0.50', '1x Wizz Fizz Single Cone $0.70', '1x Wizz Fizz Mini Inflatable Hammer $2.00']",Total Retail Value: $6.30,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",5.0,6.3
f2bd2ac8-5aa9-42a7-b527-5714f735a10f,Yupi Showbag,$10,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/d637a566845d4947808de11f08c17fdc/yupi-showbag//ShowBagImage-22623751-300-300-75-0,0","['1x Yupi Baby Bears 108g $3.95', '1x Yupi Neon Stix 108g $3.95', '1x Yupi Burgers 84g $3.95', '3x Yupi Pizza $0.65', '3x Yupi Fruit Cocktails $0.65', '3x Yupi Aquariums $0.65', '3x Yupi Jungle Fun $0.20', '5x Yupi Frankfurters $0.30']",Total Retail Value: $19.80,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,19.8
e3a590f7-9577-40f4-9051-1625e9c6ae26,Bluey Showbag,$32,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/b8d04323f71447c69e197d018122be26/bluey-1//ShowBagImage-22676306-300-300-75-0,0","['1x Backpack $19.95', '1x Bucket Hat $9.95', '1x Colouring Pad $3.95', '1x Lunch Box Set $9.95', '1x Silly Straws $7.95', '1x Sticker Pad $4.95', '1x Tumbler $4.95', '1x Headband $4.95', '1x Reusable Tote Bag $4.95']",Total Retail Value: $71.55,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",32.0,71.55
92b2077b-05e8-486b-848e-d2d0b8f199b0,Pokemon Go Showbag,$32,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/cd613cdac9a6412b91e2948ab5bdc71e/pokemon-go//ShowBagImage-31868515-300-300-75-0,0","['1x Duffle Bag $24.95', '1x Notebook $4.95', '1x Pencil Case $4.95', '1x Neon Light $14.95', '1x Cap $12.95', '1x Keyring $3.95', '1x Shoelaces $4.95', '1x Trading Cards $2.95', '1x Reusable Tote Bag $4.95']",Total Retail Value: $79.55,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",32.0,79.55
2d3b5957-f02a-43f1-b57d-dfabb670b41a,TNT / KA Bluey Showbag,$6,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/733bed8cceab4d8086295e76b8e6256f/tnt--ka-bluey-//ShowBagImage-32353227-300-300-75-0,0","['1x TNT Mega Sour Straps 75g $1.85', '1x 60ml Gob Licker Sour Roller $1.75', '1x 40g TNT Giant Multicolour Chew $1.00', '1x 15g TNT Sour Face Dip $0.90', '1x TNT Mega Sour Crazy Crackles $0.50', '1x 15g Busters Tangy Candy  $1.00', '1x Ka Bluey Blast Chew Bar $0.20', '1x Sam Blue Pop $0.40', '1x 15g TNT Sour Chew Bites $0.75']",Total Retail Value: $8.35,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",6.0,8.35
65471567-b6f6-4bee-9b2a-aa9fc9205ad4,Fairy Girls,$25,Stand Numbers: 11,"https://www.eastershow.com.au/contentassets/868e02fa6e734f8c987f5f76480a23b9/fairy-girls.jpg/ShowBagImage-32468879-300-300-75-0,0","['1x Rainbow Fairy Unicorn Costume with Wings Skirt and Headband $25.00', '1x Rainbow Necklace $6.95', '1x Unicorn Hairpiece $3.95', '1x Stickers $1.95', '1x Fairy Princess $4.95', '1x Make Up $4.95', '1x Fairy Scratch Cards $9.95']",Total Retail Value: $57.70,"SHOWBAGS AUSTRALIA PTY LDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",25.0,57.7
77762880-0831-4a85-b473-a731a72b9288,Warheads Showbag,$6,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/e2315e38b9c54143a9c5944071677463/mega-warheads.jpg/ShowBagImage-32353239-300-300-75-0,0","['1x 20ml Warhead Super Spray $2.40', '2x 15g Warheads All Mixed Up $0.50', '12x 3.2g Warhead Hard Candy $0.15', '1x 28g Warhead Hard Candy $1.75', '2x 15g Warheads Cubes $0.50', '2x 15g Warheads Sour Bombs $0.50', '2x 6g Warheads Colossal $0.15', 'DEAL: 5 SHOWBAGS FOR $30 includes Chupa Chups Fizzer Trolli Warheads and Zappo']",Total Retail Value: $9.25,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",6.0,9.25
430a10be-daaf-4140-9c91-b4168a1a5df9,Pranks & More Showbag,$32,"Stand Numbers: 003, 004, 010, 012, 013, 016, 017, 018, 020","https://www.eastershow.com.au/contentassets/0e989d7471604e428b9fa0eb14c1aee9/the-original-idiot.jpg/ShowBagImage-32468754-300-300-75-0,0","['1x Sticky Snapper Hand $1.95', '1x Trick Snot $1.95', '1x Trick Broken Window Sticker $1.95', '1x Trick Snap Gum $1.95', '1x Prank Dog Poo $2.95', '1x Joke Bullants $2.95', '1x Trick Cockroach $1.95', '1x Trick Poo Flinger $1.95', '1x Toilet Putty $3.95', '1x Sticky Splat Ball $3.95', '1x Whoopee Cushion $4.95', '1x Robot Grabber Hand $4.95', '1x PLUS A CHOICE OF ONE OF THE FOLLOWING NOVELTIES $24.95', 'Stress Buster', 'Blaze Storm CF24 Gun', ""Five Nights at Freddy's 45cm"", 'Money Gun', 'Gaming Headphones', 'Skateboard', 'RC GT Touring Car']",Total Retail Value: $60.35,"BENSONS TRADING CO PTY LTDThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",32.0,60.35
c8153f90-f474-49d6-817d-c4c78b809e4c,Maltesers® Super Bag,$10,"Stand Numbers: 1,14","https://www.eastershow.com.au/contentassets/a49572c9789149bd8fd73466af8c2aca/maltesers-super.jpg/ShowBagImage-26595123-300-300-75-0,0","['11x 12g MALTESERS® FUNSIZE® $0.70', '2x 16g MARS® FUNSIZE® $0.70', '1x 13.5g M&M`S® FUNSIZE® $0.70', '1x 14.5g TWIX® FUNSIZE® $0.70', '2x 18g SNICKERS® FUNSIZE® $0.70', '1x 12g MILKY WAY®FUNSIZE® $0.70']",Total Retail Value: $12.60,"HUNTER LEISURE P/LThe content of this bag is subject to availability and may change without notice. The Royal Agricultural Society of NSW accepts no liability, to a maximum extent permissible by law, arising from any fault or defect in any showbag content.",10.0,12.6
